t,mode,px_des,py_des,pz_des,vx_des,vy_des,vz_des,ax_des,ay_des,az_des,yaw_des,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,thrust_cmd,tau_x,tau_y,tau_z,rpm0,rpm1,rpm2,rpm3,rpm4,rpm5,rpm6,rpm7,alloc_residual,qp_iter
0.000243,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.999999,-0.000000,-0.000000,-0.002389,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4512.600000,0.000000,0.000000,0.000000,2000.188850,2110.881408,2000.188850,2110.881408,2000.188850,2110.881408,2000.188850,2110.881408,0.008248,75
0.005218,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.999747,-0.000000,-0.000000,-0.050736,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,4515.261388,-0.000000,-0.000000,-0.000000,2000.760103,2111.491116,2000.760103,2111.491116,2000.760103,2111.491116,2000.760103,2111.491116,0.008228,75
0.010250,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.999266,-0.000000,-0.000000,-0.095668,1.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,4569.370878,-0.000000,-0.000000,0.000000,2012.332357,2123.868684,2012.332357,2123.868684,2012.332357,2123.868684,2012.332357,2123.868684,0.007832,75
0.015268,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.998583,-0.000000,-0.000000,-0.136107,1.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,4619.917621,0.000000,-0.000000,0.000000,2023.069448,2135.391799,2023.069448,2135.391799,2023.069448,2135.391799,2023.069448,2135.391799,0.007453,75
0.020348,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.997707,-0.000000,-0.000000,-0.172410,1.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,4665.673122,0.000000,0.000000,0.000000,2032.727617,2145.773114,2032.727617,2145.773114,2032.727617,2145.773114,2032.727617,2145.773114,0.007102,75
0.025327,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.996694,-0.000000,-0.000000,-0.203476,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,4707.025222,0.000000,0.000000,0.000000,2041.407413,2155.095809,2041.407413,2155.095809,2041.407413,2155.095809,2041.407413,2155.095809,0.006780,75
0.030319,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.995544,-0.000000,-0.000000,-0.230274,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4742.689834,0.000000,0.000000,0.000000,2048.857892,2163.077191,2048.857892,2163.077191,2048.857892,2163.077191,2048.857892,2163.077191,0.006497,75
0.035378,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.994263,-0.000000,-0.000000,-0.253305,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4773.745641,0.000000,0.000000,-0.000000,2055.319490,2169.976800,2055.319490,2169.976800,2055.319490,2169.976800,2055.319490,2169.976800,0.006248,75
0.040378,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.992901,-0.000000,-0.000000,-0.272410,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4800.744423,0.000000,0.000000,-0.000000,2060.921151,2175.937468,2060.921151,2175.937468,2060.921151,2175.937468,2060.921151,2175.937468,0.006466,75
0.045352,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.991467,-0.000000,-0.000000,-0.288153,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4823.455665,0.000000,0.000000,-0.000000,2065.622133,2180.923942,2065.622133,2180.923942,2065.622133,2180.923942,2065.622133,2180.923942,0.006989,75
0.050335,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.989967,-0.000000,-0.000000,-0.301063,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4842.498549,0.000000,0.000000,-0.000000,2069.556466,2185.085921,2069.556466,2185.085921,2069.556466,2185.085921,2069.556466,2185.085921,0.007430,75
0.055271,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.988430,-0.000000,-0.000000,-0.311377,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4858.455789,0.000000,0.000000,-0.000000,2072.848359,2188.560682,2072.848359,2188.560682,2072.848359,2188.560682,2072.848359,2188.560682,0.007801,75
0.060344,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.986809,-0.000000,-0.000000,-0.319679,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4871.561185,0.000000,0.000000,-0.000000,2075.548632,2191.406216,2075.548632,2191.406216,2075.548632,2191.406216,2075.548632,2191.406216,0.008108,75
0.065363,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.985173,-0.000000,-0.000000,-0.325943,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4882.515038,0.000000,0.000000,-0.000000,2077.803308,2193.779309,2077.803308,2193.779309,2077.803308,2193.779309,2077.803308,2193.779309,0.008365,75
0.070239,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.983561,-0.000000,-0.000000,-0.330452,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4891.214725,0.000000,0.000000,-0.000000,2079.592498,2195.660892,2079.592498,2195.660892,2079.592498,2195.660892,2079.592498,2195.660892,0.008569,75
0.075209,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.981903,-0.000000,-0.000000,-0.333641,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4897.932545,0.000000,0.000000,-0.000000,2080.973165,2197.112073,2080.973165,2197.112073,2080.973165,2197.112073,2080.973165,2197.112073,0.008728,75
0.080204,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.980227,-0.000000,-0.000000,-0.335640,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4903.231231,0.000000,0.000000,-0.000000,2082.061585,2198.255693,2082.061585,2198.255693,2082.061585,2198.255693,2082.061585,2198.255693,0.008853,75
0.085375,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.978486,-0.000000,-0.000000,-0.336615,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4907.223402,0.000000,0.000000,-0.000000,2082.881283,2199.116784,2082.881283,2199.116784,2082.881283,2199.116784,2082.881283,2199.116784,0.008947,75
0.090321,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.976821,-0.000000,-0.000000,-0.336709,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4910.142700,0.000000,0.000000,-0.000000,2083.480502,2199.746183,2083.480502,2199.746183,2083.480502,2199.746183,2083.480502,2199.746183,0.009016,75
0.095405,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.975112,-0.000000,-0.000000,-0.336058,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4912.001203,0.000000,0.000000,-0.000000,2083.861893,2200.146758,2083.861893,2200.146758,2083.861893,2200.146758,2083.861893,2200.146758,0.009060,75
0.100400,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.973440,-0.000000,-0.000000,-0.334813,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4913.075222,0.000000,0.000000,-0.000000,2084.082267,2200.378209,2084.082267,2200.378209,2084.082267,2200.378209,2084.082267,2200.378209,0.009086,75
